Frequency(Hz);Return Loss(dB);Phase(deg);Rs;SWR;Xs;|Z|;Theta
220077888;-2,43;119,60;9,2;7,19;28,4;29,8;71,9
223038400;-2,38;114,60;9,6;7,33;31,3;32,7;73,0
225998912;-2,31;110,23;9,7;7,58;34,0;35,3;74,0
228959424;-2,24;105,89;10,0;7,80;36,8;38,1;74,8
231919936;-2,20;101,56;10,4;7,95;39,7;41,1;75,4
234880448;-2,24;97,37;11,2;7,79;42,7;44,1;75,2
237840960;-2,27;93,35;12,1;7,68;45,7;47,3;75,1
240801472;-2,36;90,15;13,2;7,42;48,1;49,9;74,6
243761984;-2,29;87,41;13,5;7,62;50,5;52,2;75,0
246722496;-2,18;83,97;13,7;8,02;53,7;55,4;75,7
249683008;-2,13;79,99;14,4;8,21;57,5;59,3;75,9
252643520;-2,14;76,49;15,6;8,18;61,0;63,0;75,7
255604032;-2,11;73,11;16,6;8,26;64,7;66,8;75,6
258564544;-2,12;69,51;18,1;8,24;68,9;71,2;75,3
261525056;-2,13;66,05;19,8;8,20;73,2;75,8;74,8
264485568;-2,20;62,66;22,4;7,93;77,5;80,7;73,9
267446080;-2,29;60,08;24,8;7,65;80,8;84,6;72,9
270406592;-2,24;57,78;26,1;7,79;84,5;88,5;72,9
273367104;-2,13;54,79;27,2;8,22;90,1;94,1;73,2
276327616;-2,03;51,48;29,1;8,62;96,7;101,0;73,3
279288128;-1,92;48,13;31,2;9,08;104,3;108,8;73,3
282248640;-1,82;44,19;34,6;9,57;114,3;119,4;73,1
285209152;-1,79;40,05;40,6;9,73;125,7;132,1;72,1
288169664;-1,79;36,13;48,5;9,75;138,0;146,3;70,6
291130176;-1,79;32,32;58,8;9,75;151,7;162,7;68,8
294090688;-1,82;28,31;74,6;9,56;167,3;183,2;66,0
297051200;-1,86;24,58;94,9;9,38;183,1;206,2;62,6
300011712;-1,86;20,76;122,7;9,38;201,6;236,0;58,7
302972224;-1,83;16,93;161,6;9,55;222,2;274,8;54,0
305932736;-1,83;12,57;229,4;9,55;235,8;329,0;45,8
308893248;-1,86;8,24;323,5;9,37;214,8;388,3;33,6
311853760;-1,94;4,19;407,0;9,01;132,4;427,9;18,0
314814272;-2,02;0,14;431,7;8,64;4,4;431,8;0,6
317774784;-2,13;-3,80;381,9;8,19;-102,2;395,4;-15,0
320735296;-2,22;-7,42;313,6;7,88;-157,0;350,7;-26,6
323695808;-2,27;-10,87;252,8;7,71;-180,6;310,7;-35,5
326656320;-2,34;-14,43;200,4;7,48;-183,3;271,6;-42,5
329616832;-2,39;-17,86;161,5;7,32;-177,9;240,2;-47,8
332577344;-2,43;-21,34;131,3;7,18;-168,4;213,5;-52,0
335537856;-2,45;-24,73;108,4;7,14;-158,8;192,3;-55,7
338498368;-2,44;-28,41;88,9;7,16;-148,5;173,1;-59,1
341458880;-2,44;-32,34;73,1;7,16;-137,2;155,5;-62,0
344419392;-2,46;-36,37;61,1;7,10;-126,0;140,0;-64,2
347379904;-2,54;-40,98;51,4;6,89;-113,8;124,9;-65,7
350340416;-2,70;-45,74;45,0;6,49;-102,1;111,6;-66,2
353300928;-2,99;-50,23;41,8;5,86;-91,4;100,5;-65,4
356261440;-3,34;-54,01;40,4;5,27;-83,1;92,4;-64,1
359221952;-3,66;-57,31;39,4;4,82;-76,5;86,1;-62,7
362182464;-3,95;-60,16;38,7;4,47;-71,4;81,2;-61,5
365142976;-4,18;-63,38;37,3;4,23;-66,7;76,4;-60,8
368103488;-4,56;-66,56;37,0;3,89;-61,7;71,9;-59,1
371064000;-4,91;-68,73;37,2;3,63;-58,1;69,0;-57,4
374024512;-5,24;-70,54;37,5;3,42;-55,2;66,7;-55,8
376985024;-5,55;-72,20;37,7;3,24;-52,6;64,7;-54,3
379945536;-5,84;-72,70;38,6;3,09;-50,9;63,9;-52,8
382906048;-5,99;-72,45;39,4;3,01;-50,4;64,0;-52,0
385866560;-5,95;-72,07;39,5;3,03;-50,8;64,4;-52,1
388827072;-5,72;-71,84;38,7;3,14;-52,0;64,9;-53,3
391787584;-5,30;-72,22;36,6;3,38;-53,7;65,0;-55,8
394748096;-4,86;-74,55;32,9;3,67;-53,9;63,2;-58,6
397708608;-4,42;-77,61;28,9;4,02;-53,2;60,6;-61,5
400669120;-4,02;-81,38;25,0;4,40;-51,5;57,3;-64,1
403629632;-3,71;-85,48;21,7;4,76;-49,2;53,7;-66,2
406590144;-3,48;-89,68;19,1;5,05;-46,5;50,3;-67,6
409550656;-3,31;-94,20;17,0;5,32;-43,5;46,7;-68,7
412511168;-3,12;-98,39;15,1;5,63;-40,8;43,6;-69,7
415471680;-2,97;-102,81;13,6;5,90;-38,1;40,4;-70,3
418432192;-2,86;-107,21;12,4;6,12;-35,4;37,5;-70,6
421392704;-2,78;-111,66;11,5;6,29;-32,7;34,7;-70,7
424353216;-2,75;-115,88;10,8;6,37;-30,3;32,1;-70,3
427313728;-2,75;-120,18;10,4;6,36;-27,8;29,7;-69,5
430274240;-2,77;-124,16;10,0;6,33;-25,7;27,6;-68,6
433234752;-2,84;-128,10;9,9;6,18;-23,5;25,6;-67,1
436195264;-2,93;-131,65;10,0;5,98;-21,7;23,9;-65,3
439155776;-3,02;-135,14;10,0;5,82;-19,9;22,3;-63,3
442116288;-3,13;-138,37;10,1;5,62;-18,3;20,9;-61,0
445076800;-3,26;-141,57;10,4;5,39;-16,8;19,7;-58,3
448037312;-3,40;-144,42;10,6;5,18;-15,4;18,7;-55,4
450997824;-3,51;-147,10;10,8;5,02;-14,1;17,8;-52,6
453958336;-3,64;-149,36;11,1;4,84;-13,1;17,1;-49,7
456918848;-3,73;-151,19;11,2;4,72;-12,2;16,6;-47,4
459879360;-3,74;-152,75;11,2;4,72;-11,5;16,1;-45,9
462839872;-3,67;-154,49;10,9;4,80;-10,8;15,4;-44,7
465800384;-3,50;-156,39;10,4;5,03;-10,0;14,4;-44,0
468760896;-3,28;-158,75;9,6;5,36;-9,0;13,2;-43,2
471721408;-3,05;-161,62;8,9;5,76;-7,8;11,9;-41,4
474681920;-2,81;-164,95;8,2;6,23;-6,4;10,4;-38,3
477642432;-2,62;-168,42;7,6;6,69;-5,0;9,0;-33,3
480602944;-2,44;-172,22;7,0;7,16;-3,3;7,8;-25,4
483563456;-2,27;-176,02;6,5;7,68;-1,7;6,7;-14,7
486523968;-2,12;179,79;6,1;8,24;0,1;6,1;0,8
489484480;-2,01;175,54;5,8;8,68;1,9;6,1;18,4
492444992;-1,91;171,12;5,5;9,15;3,8;6,7;34,9
495405504;-1,85;166,71;5,4;9,41;5,8;7,9;46,9
498366016;-1,80;162,55;5,3;9,71;7,6;9,2;55,2
501326528;-1,79;157,86;5,3;9,74;9,7;11,0;61,1
504287040;-1,86;153,30;5,6;9,40;11,7;13,0;64,4
507247552;-2,01;148,70;6,2;8,67;13,8;15,1;65,8
510208064;-2,29;144,46;7,2;7,64;15,7;17,3;65,4
513168576;-2,70;141,15;8,6;6,48;17,2;19,2;63,3
516129088;-3,11;139,67;10,0;5,64;17,7;20,3;60,5
519089600;-3,29;139,62;10,6;5,34;17,7;20,6;59,1
522050112;-3,16;139,46;10,2;5,55;17,8;20,5;60,2
525010624;-2,90;138,02;9,4;6,05;18,6;20,8;63,1
527971136;-2,62;135,43;8,7;6,67;20,0;21,8;66,4
530931648;-2,38;132,23;8,1;7,34;21,7;23,1;69,5
533892160;-2,20;128,72;7,7;7,95;23,5;24,8;71,9
536852672;-2,08;125,03;7,5;8,39;25,5;26,6;73,6
539813184;-2,01;121,40;7,5;8,70;27,6;28,6;74,7
542773696;-1,93;117,60;7,5;9,03;29,8;30,7;75,8
545734208;-1,88;113,76;7,6;9,29;32,1;33,0;76,6
548694720;-1,85;109,82;7,9;9,42;34,5;35,4;77,1
551655232;-1,80;106,23;8,0;9,66;36,9;37,8;77,7
554615744;-1,77;102,36;8,3;9,84;39,5;40,4;78,1
557576256;-1,76;98,93;8,7;9,90;42,0;42,9;78,3
560536768;-1,74;95,03;9,1;10,04;45,0;45,9;78,6
563497280;-1,73;91,20;9,6;10,10;48,0;49,0;78,7
566457792;-1,70;87,57;10,1;10,26;51,1;52,1;78,9
569418304;-1,67;83,86;10,6;10,42;54,5;55,6;79,0
572378816;-1,67;80,31;11,4;10,43;58,0;59,1;78,9
575339328;-1,64;76,71;12,0;10,65;61,8;62,9;79,0
578299840;-1,60;73,10;12,8;10,88;65,9;67,1;79,0
581260352;-1,55;69,50;13,5;11,23;70,3;71,6;79,1
584220864;-1,53;65,91;14,6;11,35;75,1;76,5;79,0
587181376;-1,52;62,49;15,9;11,42;80,1;81,7;78,8
590141888;-1,54;59,11;17,7;11,34;85,4;87,2;78,3
593102400;-1,48;55,61;19,1;11,73;91,7;93,7;78,2
596062912;-1,45;52,09;21,0;11,98;98,7;100,9;78,0
599023424;-1,44;48,88;23,4;12,06;105,7;108,3;77,5
601983936;-1,39;45,32;25,9;12,54;114,8;117,7;77,3
604944448;-1,38;41,85;29,8;12,63;124,6;128,1;76,6
607904960;-1,36;38,40;34,4;12,81;135,9;140,2;75,8
610865472;-1,35;34,91;40,7;12,87;148,9;154,4;74,7
613825984;-1,36;31,36;49,5;12,83;164,4;171,7;73,2
616786496;-1,36;27,91;61,3;12,76;181,9;192,0;71,4
619747008;-1,40;24,31;79,6;12,43;202,4;217,5;68,5
622707520;-1,41;20,61;105,7;12,33;227,9;251,2;65,1
625668032;-1,43;17,20;142,1;12,14;253,3;290,4;60,7
628628544;-1,47;13,46;203,2;11,87;278,6;344,8;53,9
631589056;-1,51;9,94;289,8;11,53;286,0;407,1;44,6
634549568;-1,58;6,29;404,9;11,06;243,5;472,5;31,0
637510080;-1,62;2,46;510,8;10,76;116,8;524,0;12,9
640470592;-1,69;-1,40;506,7;10,29;-62,9;510,6;-7,1
643431104;-1,78;-4,96;415,3;9,78;-173,8;450,2;-22,7
646391616;-1,89;-8,70;311,2;9,25;-214,9;378,2;-34,6
649352128;-1,99;-12,06;238,6;8,76;-215,4;321,4;-42,1
652312640;-2,12;-15,02;192,3;8,24;-202,3;279,1;-46,5
655273152;-2,15;-17,48;162,4;8,12;-195,2;253,9;-50,2
658233664;-2,04;-20,24;132,6;8,55;-193,3;234,4;-55,6
661194176;-1,93;-23,45;104,3;9,05;-185,4;212,7;-60,6
664154688;-1,85;-27,32;79,8;9,44;-171,0;188,7;-65,0
667115200;-1,76;-31,35;61,2;9,90;-156,1;167,7;-68,6
670075712;-1,80;-35,27;50,9;9,69;-140,8;149,7;-70,1
673036224;-1,82;-39,34;42,5;9,56;-127,4;134,4;-71,6
675996736;-1,83;-43,03;36,4;9,55;-117,2;122,7;-72,8
678957248;-1,89;-46,75;32,4;9,21;-107,5;112,3;-73,2
681917760;-1,99;-50,45;29,7;8,75;-98,9;103,3;-73,3
684878272;-2,05;-53,93;27,2;8,50;-92,0;95,9;-73,6
687838784;-2,14;-57,34;25,4;8,15;-85,8;89,4;-73,5
690799296;-2,26;-60,37;24,4;7,73;-80,5;84,1;-73,2
693759808;-2,34;-63,27;23,3;7,46;-76,1;79,6;-73,0
696720320;-2,34;-66,12;21,5;7,48;-72,4;75,5;-73,4
699680832;-2,32;-69,56;19,7;7,53;-68,2;71,0;-73,9
702641344;-2,31;-73,37;17,9;7,57;-63,9;66,4;-74,3
705601856;-2,45;-77,43;17,4;7,13;-59,3;61,8;-73,7
708562368;-2,63;-81,46;17,1;6,65;-55,1;57,7;-72,7
711522880;-2,86;-84,75;17,4;6,14;-51,7;54,5;-71,4
714483392;-3,07;-87,78;17,6;5,71;-48,8;51,9;-70,1
717443904;-3,28;-90,48;17,9;5,36;-46,3;49,6;-68,9
720404416;-3,46;-93,14;18,0;5,09;-44,0;47,5;-67,7
723364928;-3,61;-95,51;18,0;4,89;-42,1;45,8;-66,8
726325440;-3,76;-97,66;18,2;4,69;-40,3;44,2;-65,7
729285952;-3,82;-99,67;17,9;4,62;-38,9;42,9;-65,3
732246464;-3,85;-101,77;17,6;4,59;-37,5;41,4;-64,9
735206976;-3,86;-103,65;17,2;4,58;-36,4;40,2;-64,7
738167488;-3,81;-105,96;16,5;4,63;-35,0;38,7;-64,8
741128000;-3,73;-108,32;15,7;4,72;-33,7;37,2;-65,0
744088512;-3,66;-110,78;15,0;4,82;-32,4;35,7;-65,1
747049024;-3,53;-113,44;14,1;4,99;-31,0;34,0;-65,5
750009536;-3,36;-116,11;13,1;5,23;-29,6;32,4;-66,2
752970048;-3,19;-119,22;12,1;5,51;-28,0;30,5;-66,7
755930560;-3,03;-122,49;11,1;5,79;-26,4;28,6;-67,1
758891072;-2,93;-125,61;10,5;5,99;-24,8;26,9;-67,1
761851584;-2,78;-128,98;9,7;6,30;-23,1;25,1;-67,3
764812096;-2,68;-132,40;9,1;6,54;-21,4;23,3;-67,0
767772608;-2,59;-135,68;8,6;6,76;-19,8;21,6;-66,6
770733120;-2,51;-139,12;8,1;6,98;-18,2;19,9;-65,9
773693632;-2,39;-142,37;7,6;7,30;-16,7;18,3;-65,4
776654144;-2,33;-145,70;7,3;7,51;-15,1;16,8;-64,3
779614656;-2,25;-148,92;6,9;7,77;-13,7;15,3;-63,1
782575168;-2,18;-152,29;6,6;8,02;-12,1;13,8;-61,4
785535680;-2,12;-155,54;6,4;8,24;-10,7;12,4;-59,2
788496192;-2,07;-158,84;6,1;8,43;-9,2;11,1;-56,3
791456704;-2,03;-161,86;6,0;8,60;-7,9;9,9;-52,9
794417216;-1,99;-165,36;5,8;8,78;-6,3;8,6;-47,6
797377728;-1,95;-168,62;5,6;8,96;-4,9;7,5;-41,1
800338240;-1,90;-171,91;5,5;9,17;-3,5;6,5;-32,5
803298752;-1,89;-175,09;5,4;9,22;-2,1;5,8;-21,3
806259264;-1,83;-178,53;5,3;9,51;-0,6;5,3;-6,9
809219776;-1,81;178,07;5,2;9,64;0,8;5,3;9,1
812180288;-1,79;174,62;5,1;9,74;2,3;5,6;24,3
815140800;-1,75;171,18;5,1;9,94;3,8;6,3;37,0
818101312;-1,74;167,74;5,1;10,01;5,3;7,3;46,5
821061824;-1,71;164,36;5,0;10,21;6,8;8,4;53,7
824022336;-1,69;160,91;5,0;10,33;8,3;9,7;59,1
826982848;-1,68;157,46;5,0;10,39;9,9;11,1;63,1
829943360;-1,65;154,19;5,0;10,53;11,3;12,4;66,2
832903872;-1,63;150,81;5,0;10,70;12,9;13,8;68,9
835864384;-1,60;147,50;5,0;10,91;14,4;15,3;71,0
838824896;-1,58;144,19;5,0;11,02;16,0;16,8;72,6
841785408;-1,57;141,13;5,1;11,09;17,5;18,2;73,8
844745920;-1,54;137,90;5,1;11,28;19,1;19,7;75,1
847706432;-1,53;134,79;5,1;11,40;20,6;21,3;76,0
850666944;-1,51;131,58;5,2;11,51;22,3;22,9;76,8
853627456;-1,51;128,49;5,3;11,51;23,9;24,5;77,4
856587968;-1,51;125,46;5,5;11,55;25,5;26,1;77,9
859548480;-1,48;122,47;5,5;11,75;27,2;27,7;78,5
862508992;-1,49;119,39;5,7;11,70;28,9;29,5;78,8
865469504;-1,51;116,44;6,0;11,54;30,7;31,2;79,0
868430016;-1,50;113,42;6,2;11,59;32,5;33,1;79,3
871390528;-1,54;110,48;6,5;11,34;34,3;34,9;79,3
874351040;-1,54;107,39;6,8;11,32;36,3;36,9;79,4
877311552;-1,54;104,29;7,1;11,29;38,4;39,0;79,6
880272064;-1,56;101,16;7,5;11,17;40,5;41,2;79,6
883232576;-1,61;97,86;8,1;10,81;42,9;43,7;79,3
886193088;-1,62;94,93;8,5;10,73;45,1;45,9;79,3
889153600;-1,64;91,66;9,1;10,61;47,7;48,6;79,2
892114112;-1,67;88,32;9,8;10,43;50,5;51,5;79,0
895074624;-1,71;85,18;10,6;10,22;53,3;54,3;78,8
898035136;-1,71;81,94;11,3;10,19;56,3;57,4;78,7
900995648;-1,74;78,72;12,2;10,03;59,5;60,7;78,4
903956160;-1,76;75,38;13,3;9,89;63,0;64,4;78,1
906916672;-1,77;71,99;14,4;9,86;66,8;68,4;77,8
909877184;-1,75;68,70;15,4;9,98;70,9;72,6;77,7
912837696;-1,78;65,40;17,1;9,79;75,2;77,1;77,2
915798208;-1,78;61,93;18,7;9,81;80,1;82,3;76,9
918758720;-1,75;58,83;20,2;9,94;85,1;87,4;76,6
921719232;-1,73;55,66;22,1;10,05;90,6;93,2;76,3
924679744;-1,69;52,30;24,0;10,31;97,1;100,0;76,1
927640256;-1,69;48,96;27,1;10,29;104,1;107,5;75,4
930600768;-1,63;45,76;29,5;10,67;111,9;115,8;75,2
933561280;-1,64;42,50;33,8;10,63;120,4;125,1;74,3
936521792;-1,61;39,06;38,7;10,82;130,9;136,5;73,5
939482304;-1,57;35,82;44,2;11,11;142,4;149,1;72,8
942442816;-1,55;32,83;51,2;11,21;154,2;162,5;71,6
945403328;-1,53;29,27;61,9;11,37;170,6;181,5;70,1
948363840;-1,52;26,22;74,5;11,45;186,8;201,1;68,3
951324352;-1,51;22,90;93,0;11,52;207,0;227,0;65,8
954284864;-1,49;19,43;120,2;11,70;232,1;261,4;62,6
957245376;-1,45;16,10;157,5;12,03;261,0;304,8;58,9
960205888;-1,43;12,77;215,8;12,18;288,6;360,4;53,2
963166400;-1,43;9,57;300,8;12,22;303,3;427,2;45,2
966126912;-1,42;6,38;419,4;12,27;283,8;506,4;34,1
969087424;-1,43;2,76;561,2;12,18;163,2;584,5;16,2
972047936;-1,40;-0,54;617,7;12,39;-35,6;618,7;-3,3
975008448;-1,40;-4,08;520,9;12,45;-229,0;569,0;-23,7
977968960;-1,41;-7,62;369,9;12,32;-299,9;476,2;-39,0
980929472;-1,40;-11,11;255,1;12,41;-302,9;396,0;-49,9
983889984;-1,38;-14,65;176,4;12,65;-280,4;331,3;-57,8
986850496;-1,40;-18,12;129,1;12,47;-248,7;280,2;-62,6
989811008;-1,39;-21,87;94,6;12,55;-219,8;239,3;-66,7
992771520;-1,36;-25,54;71,5;12,79;-195,9;208,6;-69,9
995732032;-1,35;-29,10;56,4;12,89;-175,8;184,6;-72,2
998692544;-1,35;-32,91;45,2;12,89;-157,4;163,8;-74,0
1001653056;-1,28;-36,47;35,9;13,55;-143,7;148,1;-76,0
1004613568;-1,24;-40,31;29,0;14,00;-130,6;133,8;-77,5
1007574080;-1,25;-43,78;25,1;13,88;-119,9;122,5;-78,2
1010534592;-1,22;-47,49;21,1;14,22;-110,3;112,3;-79,1
1013495104;-1,22;-51,24;18,4;14,25;-101,6;103,2;-79,7
1016455616;-1,19;-54,94;15,9;14,57;-94,1;95,4;-80,4
1019416128;-1,15;-58,50;13,7;15,08;-87,7;88,7;-81,1
1022376640;-1,14;-62,23;12,1;15,25;-81,5;82,4;-81,5
1025337152;-1,12;-65,86;10,8;15,57;-76,1;76,9;-82,0
1028297664;-1,09;-69,68;9,5;15,96;-71,0;71,6;-82,4
1031258176;-1,08;-72,82;8,7;16,11;-67,1;67,6;-82,6
1034218688;-1,07;-76,49;8,0;16,19;-62,8;63,3;-82,7
1037179200;-1,06;-80,15;7,3;16,35;-58,9;59,3;-82,9
1040139712;-1,08;-83,61;7,0;16,10;-55,4;55,9;-82,8
1043100224;-1,03;-80,93;7,0;16,95;-58,1;58,5;-83,2
1046060736;-0,35;-125,96;1,3;50,15;-25,5;25,5;-87,2
1049021248;-1,04;-135,48;3,5;16,67;-20,4;20,7;-80,3
1051981760;-1,17;-99,36;5,8;14,87;-42,1;42,5;-82,2
1054942272;-1,17;-102,90;5,5;14,81;-39,5;39,9;-82,1
1057902784;-1,17;-106,44;5,2;14,81;-37,1;37,5;-82,0
1060863296;-1,18;-110,04;5,1;14,69;-34,7;35,1;-81,7
1063823808;-1,19;-113,72;4,9;14,61;-32,4;32,8;-81,5
1066784320;-1,23;-117,16;4,9;14,09;-30,3;30,7;-80,9
1069744832;-1,22;-120,66;4,7;14,21;-28,3;28,7;-80,7
1072705344;-1,24;-124,00;4,6;13,98;-26,4;26,8;-80,2
1075665856;-1,29;-127,56;4,6;13,52;-24,5;24,9;-79,4
1078626368;-1,31;-131,03;4,5;13,32;-22,6;23,1;-78,7
1081586880;-1,35;-134,58;4,6;12,89;-20,8;21,3;-77,6
1084547392;-1,37;-138,00;4,5;12,68;-19,1;19,6;-76,7
1087507904;-1,44;-141,63;4,6;12,11;-17,3;17,9;-75,0
1090468416;-1,44;-145,10;4,5;12,08;-15,6;16,2;-73,8
1093428928;-1,52;-148,54;4,7;11,46;-14,0;14,7;-71,4
1096389440;-1,55;-151,92;4,7;11,24;-12,4;13,3;-69,1
1099349952;-1,57;-155,50;4,7;11,07;-10,8;11,8;-66,3
1102310464;-1,61;-158,87;4,8;10,85;-9,2;10,4;-62,7
1105270976;-1,64;-162,48;4,8;10,63;-7,6;9,0;-57,8
1108231488;-1,66;-165,94;4,8;10,51;-6,1;7,8;-51,7
1111192000;-1,71;-169,27;4,9;10,21;-4,6;6,8;-43,3
1114152512;-1,72;-172,81;4,9;10,14;-3,1;5,8;-32,1
1117113024;-1,73;-176,12;5,0;10,07;-1,7;5,2;-18,7
1120073536;-1,77;-179,43;5,1;9,83;-0,2;5,1;-2,8
1123034048;-1,77;177,34;5,1;9,83;1,1;5,2;12,7
1125994560;-1,80;174,00;5,2;9,67;2,6;5,8;26,6
1128955072;-1,82;170,75;5,3;9,57;4,0;6,6;37,2
1131915584;-1,85;167,41;5,4;9,45;5,5;7,6;45,5
1134876096;-1,86;164,65;5,4;9,40;6,7;8,6;50,9
1137836608;-1,90;161,37;5,6;9,16;8,1;9,9;55,3
1140797120;-1,92;158,28;5,7;9,08;9,5;11,1;58,9
1143757632;-1,98;155,04;5,9;8,83;10,9;12,4;61,5
1146718144;-2,00;152,06;6,1;8,74;12,3;13,7;63,7
1149678656;-2,02;148,70;6,2;8,63;13,8;15,2;65,7
1152639168;-2,07;145,68;6,5;8,44;15,2;16,5;66,9
1155599680;-2,12;142,72;6,7;8,25;16,6;17,9;67,9
1158560192;-2,15;139,67;7,0;8,12;18,0;19,3;68,9
1161520704;-2,19;136,67;7,2;7,97;19,5;20,8;69,6
1164481216;-2,22;133,52;7,5;7,86;21,1;22,4;70,4
1167441728;-2,26;130,05;7,8;7,73;22,8;24,1;71,0
1170402240;-2,31;126,96;8,2;7,55;24,4;25,8;71,4
1173362752;-2,39;123,89;8,7;7,31;26,0;27,4;71,4
1176323264;-2,44;120,78;9,2;7,18;27,7;29,2;71,7
1179283776;-2,48;117,69;9,6;7,06;29,4;30,9;71,9
1182244288;-2,48;114,37;10,0;7,04;31,3;32,9;72,3
