Frequency(Hz);Return Loss(dB);Phase(deg);Rs;SWR;Xs;|Z|;Theta
1000000;-0,03;-5,46;35,8;614,93;-1047,7;1048,3;-88,0
3960512;0,00;-9,33;0,0;?;-612,7;612,7;-90,0
6921024;0,00;-13,13;0,0;?;-434,4;434,4;-90,0
9881536;0,00;-16,84;0,0;?;-337,7;337,7;-90,0
12842048;-0,01;-20,57;1,0;522,79;-275,6;275,6;-89,8
15802560;-0,10;-24,09;6,7;171,60;-234,2;234,3;-88,4
18763072;-0,11;-27,41;5,5;160,73;-204,9;205,0;-88,5
21723584;-0,13;-31,17;5,1;134,68;-179,1;179,2;-88,4
24684096;-0,20;-35,31;6,3;85,89;-156,9;157,0;-87,7
27644608;-0,32;-38,91;8,2;54,68;-141,1;141,4;-86,7
30605120;-0,44;-42,12;9,8;39,51;-129,2;129,6;-85,7
33565632;-0,47;-44,93;9,3;36,70;-120,3;120,7;-85,6
36526144;-0,42;-48,19;7,2;41,59;-111,4;111,6;-86,3
39486656;-0,35;-51,82;5,3;49,67;-102,7;102,8;-87,1
42447168;-0,31;-55,88;4,0;56,36;-94,1;94,2;-87,5
45407680;-0,29;-60,01;3,3;60,74;-86,5;86,6;-87,8
48368192;-0,27;-63,89;2,7;65,27;-80,1;80,2;-88,0
51328704;-0,25;-68,11;2,3;69,42;-73,9;74,0;-88,2
54289216;-0,27;-72,21;2,2;64,87;-68,5;68,5;-88,1
57249728;-0,29;-76,41;2,2;59,92;-63,5;63,5;-88,0
60210240;-0,33;-80,58;2,3;52,85;-58,9;59,0;-87,8
63170752;-0,38;-84,89;2,4;45,80;-54,6;54,7;-87,5
66131264;-0,49;-89,10;2,9;35,47;-50,7;50,8;-86,8
69091776;-0,67;-93,08;3,6;26,12;-47,2;47,4;-85,6
72052288;-0,94;-96,36;4,9;18,44;-44,5;44,8;-83,8
75012800;-1,11;-97,76;5,6;15,61;-43,3;43,7;-82,6
77973312;-0,96;-99,92;4,7;18,16;-41,8;42,1;-83,6
80933824;-0,83;-103,34;3,9;20,89;-39,4;39,6;-84,4
83894336;-0,82;-107,37;3,6;21,10;-36,6;36,8;-84,3
86854848;-1,01;-111,05;4,3;17,20;-34,2;34,4;-82,9
89815360;-1,10;-112,76;4,6;15,80;-33,1;33,4;-82,2
92775872;-0,93;-115,57;3,7;18,72;-31,4;31,6;-83,2
95736384;-0,84;-119,07;3,2;20,78;-29,3;29,5;-83,7
98696896;-0,75;-123,21;2,8;23,16;-27,0;27,1;-84,1
101657408;-0,84;-127,55;3,0;20,73;-24,6;24,7;-83,0
104617920;-0,96;-131,36;3,3;18,16;-22,5;22,8;-81,6
107578432;-1,12;-135,03;3,8;15,54;-20,6;20,9;-79,6
110538944;-1,18;-138,24;3,9;14,76;-19,0;19,4;-78,5
113499456;-1,28;-142,15;4,1;13,62;-17,0;17,5;-76,5
116459968;-1,48;-145,82;4,6;11,79;-15,2;15,9;-73,1
119420480;-1,63;-148,56;5,1;10,67;-13,9;14,8;-70,1
122380992;-1,68;-151,12;5,1;10,37;-12,7;13,7;-68,1
125341504;-1,68;-154,45;5,1;10,37;-11,2;12,3;-65,7
128302016;-1,72;-157,91;5,1;10,11;-9,7;10,9;-62,0
131262528;-1,76;-161,32;5,2;9,93;-8,1;9,6;-57,6
134223040;-1,81;-164,52;5,3;9,65;-6,7;8,5;-51,9
137183552;-1,72;-168,11;5,0;10,15;-5,2;7,2;-46,0
140144064;-1,73;-172,93;5,0;10,08;-3,1;5,8;-31,5
143104576;-1,88;-177,32;5,4;9,29;-1,2;5,5;-12,1
146065088;-2,07;178,49;5,9;8,41;0,7;6,0;6,2
149025600;-2,34;175,07;6,7;7,47;2,1;7,0;17,5
151986112;-2,55;171,96;7,3;6,85;3,4;8,1;25,1
154946624;-2,81;169,44;8,1;6,23;4,5;9,3;29,1
157907136;-2,96;167,50;8,5;5,92;5,3;10,1;31,9
160867648;-2,92;165,62;8,4;6,01;6,1;10,4;36,0
163828160;-2,84;162,06;8,3;6,18;7,7;11,3;42,8
166788672;-2,91;158,09;8,6;6,03;9,4;12,7;47,6
169749184;-3,11;154,37;9,3;5,64;11,0;14,4;49,8
172709696;-3,27;151,01;9,9;5,38;12,5;15,9;51,5
175670208;-3,54;147,20;10,9;4,98;14,1;17,8;52,3
178630720;-3,83;144,06;11,9;4,61;15,4;19,5;52,2
181591232;-4,31;140,64;13,6;4,11;16,7;21,5;50,8
184551744;-4,93;139,35;15,5;3,62;16,9;23,0;47,4
187512256;-5,39;141,09;16,7;3,33;15,9;23,1;43,5
190472768;-5,17;142,27;16,0;3,46;15,5;22,3;44,1
193433280;-5,01;140,43;15,7;3,56;16,4;22,7;46,3
196393792;-5,18;139,35;16,3;3,45;16,8;23,4;45,8
199354304;-5,13;140,86;16,0;3,49;16,1;22,7;45,3
202314816;-4,56;140,59;14,4;3,90;16,6;21,9;49,1
205275328;-4,06;138,11;13,1;4,36;18,0;22,2;54,0
208235840;-3,72;134,73;12,3;4,75;19,8;23,3;58,2
211196352;-3,49;131,58;11,8;5,05;21,4;24,5;61,1
214156864;-3,17;129,15;11,0;5,55;22,8;25,3;64,3
217117376;-2,69;125,22;9,7;6,50;25,1;26,9;68,9
