Frequency(Hz);Return Loss(dB);Phase(deg);Rs;SWR;Xs;|Z|;Theta
2245068096;-0,68;155,34;2,0;25,64;10,9;11,1;79,4
2248028608;-0,68;153,50;2,1;25,45;11,8;11,9;80,0
2250989120;-0,69;151,75;2,1;25,30;12,6;12,7;80,5
2253949632;-0,72;150,13;2,2;24,23;13,3;13,5;80,6
2256910144;-0,73;148,26;2,3;23,88;14,2;14,4;80,9
2259870656;-0,73;146,45;2,3;23,77;15,0;15,2;81,3
2262831168;-0,76;144,77;2,4;23,02;15,8;16,0;81,4
2265791680;-0,79;143,20;2,5;22,02;16,6;16,8;81,4
2268752192;-0,81;141,62;2,6;21,35;17,4;17,6;81,4
2271712704;-0,83;139,97;2,7;20,89;18,2;18,4;81,5
2274673216;-0,86;138,22;2,8;20,20;19,0;19,2;81,5
2277633728;-0,87;136,58;2,9;19,92;19,9;20,1;81,7
2280594240;-0,91;134,93;3,1;19,07;20,7;20,9;81,6
2283554752;-0,93;133,19;3,2;18,72;21,6;21,8;81,6
2286515264;-0,97;131,55;3,4;17,93;22,4;22,7;81,5
2289475776;-1,01;129,86;3,5;17,24;23,3;23,6;81,4
2292436288;-1,04;127,99;3,7;16,74;24,3;24,6;81,4
2295396800;-1,07;126,29;3,9;16,22;25,2;25,5;81,3
2298357312;-1,10;124,52;4,0;15,82;26,2;26,5;81,2
2301317824;-1,11;122,81;4,2;15,60;27,1;27,4;81,3
2304278336;-1,15;120,85;4,4;15,17;28,2;28,5;81,2
2307238848;-1,17;119,07;4,5;14,87;29,2;29,6;81,2
2310199360;-1,19;117,23;4,7;14,56;30,3;30,7;81,2
2313159872;-1,20;115,34;4,8;14,44;31,4;31,8;81,2
2316120384;-1,23;113,51;5,0;14,18;32,5;32,9;81,2
2319080896;-1,24;111,59;5,2;14,03;33,7;34,1;81,2
2322041408;-1,24;109,71;5,3;14,01;34,9;35,3;81,3
2325001920;-1,26;107,93;5,5;13,86;36,1;36,5;81,3
2327962432;-1,27;106,16;5,7;13,71;37,3;37,7;81,3
2330922944;-1,24;104,26;5,7;14,01;38,6;39,0;81,6
2333883456;-1,24;102,44;5,8;14,08;39,8;40,3;81,7
2336843968;-1,21;100,63;5,8;14,43;41,2;41,6;81,9
2339804480;-1,21;98,78;6,0;14,38;42,5;42,9;81,9
2342764992;-1,22;96,94;6,2;14,31;43,9;44,3;81,9
2345725504;-1,20;95,21;6,3;14,45;45,2;45,7;82,1
2348686016;-1,19;93,48;6,4;14,68;46,6;47,1;82,2
2351646528;-1,20;91,65;6,7;14,52;48,1;48,6;82,1
2354607040;-1,17;89,83;6,7;14,81;49,7;50,2;82,3
2357567552;-1,19;88,21;7,0;14,67;51,1;51,6;82,2
2360528064;-1,18;86,41;7,2;14,76;52,7;53,2;82,2
2363488576;-1,16;84,78;7,3;14,99;54,2;54,7;82,3
2366449088;-1,15;82,97;7,5;15,08;56,0;56,5;82,4
2369409600;-1,17;81,18;7,9;14,85;57,7;58,3;82,2
2372370112;-1,19;79,39;8,3;14,59;59,6;60,1;82,0
2375330624;-1,19;77,51;8,6;14,68;61,6;62,2;82,0
2378291136;-1,19;75,60;9,1;14,59;63,7;64,3;81,9
2381251648;-1,22;73,70;9,6;14,31;65,8;66,5;81,7
2384212160;-1,22;71,73;10,1;14,27;68,2;68,9;81,6
2387172672;-1,21;69,72;10,5;14,37;70,7;71,5;81,5
2390133184;-1,24;67,71;11,4;14,02;73,3;74,2;81,2
2393093696;-1,24;65,79;11,9;14,05;76,0;76,9;81,1
2396054208;-1,27;63,74;12,9;13,71;78,9;80,0;80,7
2399014720;-1,25;61,63;13,5;13,96;82,2;83,3;80,7
2401975232;-1,28;59,51;14,7;13,59;85,6;86,8;80,3
2404935744;-1,29;57,45;15,8;13,48;89,1;90,5;80,0
2407896256;-1,25;55,10;16,5;13,89;93,6;95,0;80,0
2410856768;-1,22;53,00;17,2;14,32;97,9;99,4;80,0
2413817280;-1,22;50,67;18,8;14,23;102,8;104,5;79,6
2416777792;-1,15;48,56;19,1;15,14;108,1;109,7;80,0
2419738304;-1,15;46,56;20,7;15,14;113,1;114,9;79,6
2422698816;-1,12;44,18;22,3;15,48;119,6;121,7;79,5
2425659328;-1,08;42,00;23,6;16,07;126,4;128,6;79,4
2428619840;-1,07;39,73;25,8;16,28;134,0;136,5;79,1
2431580352;-1,00;37,40;27,3;17,34;143,1;145,7;79,2
2434540864;-1,01;35,13;30,8;17,24;152,3;155,4;78,6
2437501376;-0,97;33,01;33,4;17,93;162,5;165,8;78,4
2440461888;-0,92;30,76;36,1;18,97;174,8;178,5;78,3
2443422400;-0,88;28,47;40,2;19,77;189,1;193,3;78,0
2446382912;-0,84;26,36;44,8;20,60;204,2;209,1;77,6
2449343424;-0,81;24,17;50,6;21,54;222,5;228,2;77,2
2452303936;-0,75;21,83;57,1;23,26;246,5;253,0;77,0
2455264448;-0,74;19,44;70,4;23,45;274,3;283,2;75,6
2458224960;-0,70;17,10;85,4;24,70;309,6;321,1;74,6
2461185472;-0,66;14,75;106,4;26,26;355,1;370,7;73,3
2464145984;-0,65;12,31;145,2;26,76;413,4;438,1;70,7
2467106496;-0,60;10,11;193,1;28,93;489,7;526,4;68,5
2470067008;-0,58;7,54;307,9;29,83;602,0;676,2;62,9
2473027520;-0,59;5,21;529,1;29,22;701,1;878,3;53,0
2475988032;-0,51;2,77;1012,7;33,82;828,2;1308,2;39,3
2478948544;-0,50;0,23;1740,5;34,98;122,9;1744,8;4,0
2481909056;-0,49;-2,13;1233,9;35,40;-812,8;1477,5;-33,4
2484869568;-0,46;-4,74;548,0;37,87;-857,6;1017,8;-57,4
2487830080;-0,42;-7,20;266,2;41,59;-693,1;742,5;-69,0
2490790592;-0,39;-9,69;147,5;44,37;-550,5;569,9;-75,0
2493751104;-0,37;-12,51;86,3;47,02;-439,4;447,8;-78,9
2496711616;-0,37;-15,23;59,0;47,03;-364,5;369,3;-80,8
2499672128;-0,35;-17,97;40,1;50,30;-311,2;313,7;-82,7
2502632640;-0,29;-20,62;25,5;60,78;-272,6;273,8;-84,7
2505593152;-0,27;-23,24;19,3;63,58;-241,7;242,5;-85,4
2508553664;-0,19;-26,15;10,5;92,68;-214,8;215,1;-87,2
2511514176;-0,17;-28,93;7,7;103,85;-193,6;193,7;-87,7
2514474688;-0,17;-31,73;6,7;100,28;-175,7;175,8;-87,8
2517435200;-0,13;-34,59;4,3;130,90;-160,5;160,5;-88,5
2520395712;-0,08;-37,29;2,1;229,89;-148,2;148,2;-89,2
2523356224;-0,06;-40,22;1,5;273,89;-136,5;136,6;-89,4
2526316736;-0,00;-43,01;0,1;025,64;-126,9;126,9;-90,0
2529277248;0,00;-45,97;0,0;?;-117,9;117,9;-90,0
2532237760;0,00;-48,65;0,0;?;-110,6;110,6;-90,0
2535198272;0,00;-51,33;0,0;?;-104,1;104,1;-90,0
2538158784;0,00;-53,88;0,0;?;-98,4;98,4;-90,0
2541119296;0,00;-56,70;0,0;?;-92,7;92,7;-90,0
2544079808;0,00;-59,58;0,0;?;-87,3;87,3;-90,0
2547040320;0,00;-62,15;0,0;?;-83,0;83,0;-90,0
2550000832;0,00;-64,98;0,0;?;-78,5;78,5;-90,0
2552961344;0,00;-67,63;0,0;?;-74,6;74,6;-90,0
2555921856;0,00;-70,03;0,0;?;-71,4;71,4;-90,0
2558882368;0,00;-72,87;0,0;?;-67,7;67,7;-90,0
2561842880;0,00;-75,26;0,0;?;-64,9;64,9;-90,0
2564803392;0,00;-77,96;0,0;?;-61,8;61,8;-90,0
2567763904;0,00;-80,59;0,0;?;-59,0;59,0;-90,0
2570724416;0,00;-83,21;0,0;?;-56,3;56,3;-90,0
2573684928;0,00;-85,88;0,0;?;-53,7;53,7;-90,0
2576645440;0,00;-88,23;0,0;?;-51,6;51,6;-90,0
2579605952;0,00;-90,51;0,0;?;-49,6;49,6;-90,0
2582566464;0,00;-93,07;0,0;?;-47,4;47,4;-90,0
2585526976;0,00;-95,60;0,0;?;-45,3;45,3;-90,0
2588487488;0,00;-98,16;0,0;?;-43,3;43,3;-90,0
2591448000;0,00;-100,40;0,0;?;-41,7;41,7;-90,0
2594408512;0,00;-102,82;0,0;?;-39,9;39,9;-90,0
2597369024;0,00;-105,55;0,0;?;-38,0;38,0;-90,0
2600329536;0,00;-107,65;0,0;?;-36,6;36,6;-90,0
2603290048;0,00;-110,28;0,0;?;-34,8;34,8;-90,0
2606250560;0,00;-112,79;0,0;?;-33,2;33,2;-90,0
2609211072;0,00;-115,52;0,0;?;-31,5;31,5;-90,0
2612171584;0,00;-117,80;0,0;?;-30,2;30,2;-90,0
2615132096;0,00;-120,09;0,0;?;-28,8;28,8;-90,0
2618092608;0,00;-122,74;0,0;?;-27,3;27,3;-90,0
2621053120;0,00;-125,23;0,0;?;-25,9;25,9;-90,0
2624013632;0,00;-127,27;0,0;?;-24,8;24,8;-90,0
2626974144;0,00;-129,98;0,0;?;-23,3;23,3;-90,0
2629934656;0,00;-132,33;0,0;?;-22,1;22,1;-90,0
2632895168;0,00;-135,01;0,0;?;-20,7;20,7;-90,0
2635855680;0,00;-137,42;0,0;?;-19,5;19,5;-90,0
2638816192;-0,00;-139,91;0,0;052,57;-18,2;18,2;-90,0
2641776704;-0,02;-142,34;0,1;810,13;-17,1;17,1;-89,8
2644737216;-0,06;-144,64;0,2;312,45;-15,9;15,9;-89,4
2647697728;-0,08;-146,93;0,2;220,63;-14,8;14,8;-89,0
2650658240;-0,07;-149,28;0,2;242,12;-13,7;13,7;-89,1
2653618752;-0,08;-151,42;0,2;224,06;-12,7;12,7;-88,9
2656579264;-0,11;-153,59;0,3;159,84;-11,7;11,7;-88,4
2659539776;-0,15;-155,93;0,4;116,62;-10,7;10,7;-87,6
2662500288;-0,13;-157,99;0,4;134,17;-9,7;9,7;-87,7
2665460800;-0,12;-160,14;0,4;142,19;-8,8;8,8;-87,6
2668421312;-0,17;-162,11;0,5;102,00;-7,9;7,9;-86,3
2671381824;-0,19;-164,24;0,6;89,19;-6,9;6,9;-85,3
2674342336;-0,19;-166,18;0,6;89,88;-6,1;6,1;-84,7
2677302848;-0,22;-168,23;0,6;80,53;-5,2;5,2;-83,1
2680263360;-0,23;-170,29;0,7;74,03;-4,2;4,3;-80,9
2683223872;-0,25;-172,19;0,7;69,30;-3,4;3,5;-78,0
2686184384;-0,29;-174,14;0,8;60,81;-2,6;2,7;-72,2
2689144896;-0,32;-176,07;0,9;54,11;-1,7;1,9;-61,7
2692105408;-0,35;-177,93;1,0;50,27;-0,9;1,3;-42,3
2695065920;-0,37;-179,80;1,1;46,82;-0,1;1,1;-4,7
2698026432;-0,43;178,34;1,2;40,27;0,7;1,4;30,3
2700986944;-0,44;176,44;1,3;39,71;1,6;2,0;51,0
2703947456;-0,47;174,52;1,4;36,91;2,4;2,8;60,4
2706907968;-0,52;172,72;1,5;33,70;3,2;3,5;64,9
2709868480;-0,53;170,86;1,5;32,54;4,0;4,3;68,8
2712828992;-0,58;169,01;1,7;29,81;4,8;5,1;70,6
2715789504;-0,62;167,06;1,8;28,02;5,7;5,9;72,3
2718750016;-0,66;165,22;1,9;26,50;6,5;6,8;73,5
2721710528;-0,67;163,32;2,0;25,76;7,3;7,6;74,8
2724671040;-0,71;161,46;2,1;24,44;8,1;8,4;75,5
2727631552;-0,71;159,50;2,1;24,38;9,0;9,3;76,8
2730592064;-0,74;157,68;2,2;23,47;9,8;10,1;77,3
2733552576;-0,75;155,92;2,3;23,11;10,6;10,9;78,0
2736513088;-0,76;154,09;2,3;22,80;11,5;11,7;78,6
2739473600;-0,77;152,30;2,4;22,50;12,3;12,5;79,2
2742434112;-0,80;150,53;2,5;21,79;13,1;13,3;79,4
2745394624;-0,81;148,81;2,5;21,53;13,9;14,1;79,8
2748355136;-0,80;147,18;2,5;21,70;14,7;14,9;80,3
2751315648;-0,84;145,35;2,6;20,82;15,6;15,8;80,4
2754276160;-0,84;143,66;2,7;20,74;16,4;16,6;80,7
2757236672;-0,85;142,01;2,7;20,37;17,2;17,4;80,9
2760197184;-0,88;140,28;2,8;19,84;18,0;18,2;81,0
2763157696;-0,88;138,68;2,9;19,77;18,8;19,0;81,3
2766118208;-0,90;137,01;3,0;19,34;19,6;19,9;81,4
2769078720;-0,91;135,53;3,0;19,14;20,4;20,6;81,5
2772039232;-0,93;133,95;3,2;18,72;21,2;21,4;81,5
2774999744;-0,94;132,25;3,2;18,52;22,1;22,3;81,7
2777960256;-0,97;130,80;3,4;17,89;22,8;23,1;81,6
2780920768;-1,00;129,15;3,5;17,32;23,7;23,9;81,5
2783881280;-1,05;127,28;3,7;16,61;24,7;24,9;81,4
2786841792;-1,07;125,82;3,9;16,24;25,5;25,7;81,3
2789802304;-1,11;124,04;4,1;15,66;26,4;26,7;81,2
2792762816;-1,16;122,52;4,3;15,01;27,3;27,6;81,0
2795723328;-1,23;121,08;4,7;14,16;28,1;28,4;80,6
2798683840;-1,23;119,42;4,7;14,19;29,0;29,4;80,8
2801644352;-1,25;117,47;4,9;13,87;30,1;30,5;80,7
2804604864;-1,30;115,66;5,2;13,40;31,2;31,6;80,5
2807565376;-1,36;113,77;5,5;12,83;32,3;32,8;80,3
2810525888;-1,33;112,04;5,5;13,11;33,4;33,9;80,6
2813486400;-1,40;110,14;6,0;12,45;34,6;35,1;80,2
2816446912;-1,43;108,20;6,3;12,14;35,8;36,4;80,1
2819407424;-1,42;106,56;6,3;12,22;36,9;37,4;80,2
2822367936;-1,43;104,55;6,5;12,18;38,3;38,8;80,3
2825328448;-1,48;102,78;6,9;11,80;39,5;40,1;80,1
2828288960;-1,54;100,64;7,4;11,34;40,9;41,6;79,7
2831249472;-1,53;98,91;7,5;11,42;42,2;42,9;79,9
2834209984;-1,55;96,88;7,9;11,23;43,7;44,4;79,8
2837170496;-1,54;94,86;8,1;11,31;45,3;46,0;79,9
2840131008;-1,55;92,94;8,4;11,22;46,8;47,5;79,8
2843091520;-1,54;91,06;8,6;11,35;48,3;49,1;79,9
2846052032;-1,55;88,92;9,0;11,25;50,1;50,9;79,8
2849012544;-1,52;86,88;9,1;11,47;52,0;52,8;80,0
2851973056;-1,52;84,68;9,5;11,47;54,0;54,8;80,0
2854933568;-1,50;82,89;9,7;11,63;55,7;56,5;80,1
2857894080;-1,49;80,86;10,0;11,72;57,7;58,5;80,1
2860854592;-1,44;78,98;10,1;12,07;59,7;60,5;80,4
2863815104;-1,42;76,86;10,4;12,28;61,9;62,8;80,4
2866775616;-1,35;74,94;10,4;12,92;64,2;65,0;80,8
2869736128;-1,33;73,22;10,6;13,08;66,2;67,1;80,9
2872696640;-1,35;71,16;11,3;12,93;68,7;69,6;80,7
2875657152;-1,32;69,38;11,6;13,15;71,0;71,9;80,7
2878617664;-1,29;67,43;11,9;13,46;73,6;74,6;80,8
2881578176;-1,29;65,35;12,5;13,54;76,5;77,5;80,7
2884538688;-1,25;63,04;13,0;13,88;80,0;81,1;80,8
2887499200;-1,18;61,24;12,9;14,72;83,0;84,0;81,2
2890459712;-1,22;59,66;13,9;14,28;85,5;86,6;80,7
2893420224;-1,18;57,60;14,4;14,71;89,2;90,3;80,8
2896380736;-1,17;55,65;15,2;14,87;92,8;94,0;80,7
2899341248;-1,14;53,49;16,0;15,21;97,1;98,4;80,7
2902301760;-1,15;51,55;17,1;15,17;101,2;102,6;80,4
2905262272;-1,17;49,70;18,6;14,91;105,3;106,9;80,0
2908222784;-1,16;47,55;20,1;14,94;110,4;112,3;79,7
2911183296;-1,13;45,17;21,4;15,44;116,9;118,8;79,6
2914143808;-1,10;42,99;22,9;15,82;123,3;125,4;79,5
2917104320;-1,07;40,88;24,5;16,32;130,1;132,4;79,4
2920064832;-1,09;38,95;27,3;16,01;136,6;139,3;78,7
2923025344;-1,05;36,54;29,8;16,52;146,0;149,0;78,5
2925985856;-1,05;34,18;33,5;16,64;156,1;159,6;77,9
2928946368;-1,07;32,00;38,6;16,31;166,1;170,5;76,9
2931906880;-1,02;29,56;42,8;17,09;180,0;185,0;76,6
2934867392;-0,98;27,16;48,3;17,81;195,8;201,7;76,1
2937827904;-0,97;24,89;56,6;17,86;212,2;219,6;75,1
2940788416;-0,96;22,43;67,5;18,19;233,4;243,0;73,9
2943748928;-0,96;16,55;116,3;18,15;299,8;321,6;68,8
2946709440;-0,89;17,39;100,6;19,56;293,3;310,1;71,1
2949669952;-0,85;14,80;128,7;20,52;336,6;360,4;69,1
2952630464;-0,79;12,12;172,7;21,96;397,1;433,0;66,5
2955590976;-0,76;9,43;253,0;22,78;471,4;535,0;61,8
2958551488;-0,75;7,47;353,8;23,21;532,5;639,4;56,4
2961512000;-0,70;4,81;595,3;24,94;621,9;860,9;46,2
2964472512;-0,67;2,30;1024,4;26,08;534,7;1155,5;27,6
2967433024;-0,64;-0,46;1333,3;26,98;-143,9;1341,0;-6,2
2970393536;-0,56;-3,03;926,8;30,95;-757,9;1197,2;-39,3
2973354048;-0,52;-5,38;483,0;33,50;-757,7;898,5;-57,5
2976314560;-0,48;-8,44;224,4;36,09;-593,6;634,6;-69,3
2979275072;-0,41;-10,86;122,9;42,90;-496,1;511,1;-76,1
2982235584;-0,33;-13,18;69,2;53,45;-421,7;427,4;-80,7
2985196096;-0,26;-15,96;38,9;65,91;-352,4;354,6;-83,7
2988156608;-0,23;-18,56;25,7;74,44;-303,9;305,0;-85,2
2991117120;-0,22;-21,49;18,3;78,50;-262,3;263,0;-86,0
2994077632;-0,20;-24,22;13,0;87,27;-232,4;232,7;-86,8
2997038144;-0,13;-26,46;7,4;128,89;-212,4;212,5;-88,0
2999998656;-0,12;-29,26;5,6;141,08;-191,4;191,5;-88,3
